dataset,year,residence_group,female_age_group,male_age_group,value,source_file,sheet_name
marriages_age_matrix,2011,Общо за страната,Под 18,20 - 24,197.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,Под 18,25 - 29,39.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,Под 18,30 - 34,3.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,Под 18,35 - 39,3.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,Под 18,40 - 49,1.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,18 - 19,total,986.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,18 - 19,под 18,1.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,18 - 19,18 - 19,73.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,18 - 19,20 - 24,535.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,18 - 19,25 - 29,298.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,18 - 19,30 - 34,62.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,18 - 19,35 - 39,16.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,18 - 19,40 - 49,1.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,20 - 24,total,6252.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,20 - 24,18 - 19,40.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,20 - 24,20 - 24,1785.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,20 - 24,25 - 29,3050.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,20 - 24,30 - 34,1104.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,20 - 24,35 - 39,211.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,20 - 24,40 - 49,52.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,20 - 24,50 - 59,8.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,20 - 24,60 +,2.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,25 - 29,total,7351.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,25 - 29,18 - 19,4.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,25 - 29,20 - 24,405.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,25 - 29,25 - 29,3624.0,Pop_4.1.2._Marriages_DR.xlsx,2011
